step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
390,23150,390,0.11785317330384713,0.0,0.6666666666666666,,,,,
391,23191,391,0.08482765096078948,0.0,0.6666666666666666,,,,,
392,23272,392,0.04436951711237635,0.0,0.6666666666666666,,,,,
393,23297,393,0.07181867181772153,0.0,0.6666666666666666,0.03268047789824116,1.0,1.0,,
394,23386,394,0.025553227847584903,1.0,1.0,,,,,
395,23499,395,0.025338022460993797,1.0,1.0,,,,,
396,23516,396,0.052153876772208604,1.0,1.0,,,,,
397,23597,397,0.02174833354866678,1.0,1.0,,,,,
398,23638,398,0.11118023918688413,0.0,0.6666666666666666,,,,,
399,23719,399,0.05536960456857196,0.0,0.6666666666666666,,,,,
400,23800,400,0.03230060342651632,1.0,1.0,,,,,
401,23825,401,0.11726865856864606,0.0,0.6666666666666666,0.02663835888132144,1.0,1.0,,
402,23898,402,0.06551447151890896,0.0,0.6666666666666666,,,,,
403,23971,403,0.03950475994010655,0.0,0.6666666666666666,,,,,
404,24060,404,0.036326464991537,0.0,0.6666666666666666,,,,,
405,24085,405,0.050260115567652974,1.0,1.0,,,,,
406,24174,406,0.05159454629388082,0.0,0.0,,,,,
407,24239,407,0.07135466445018211,0.0,0.6666666666666666,,,,,
